Raw_Distance,Calibrated_Filtered_Distance
1.0,4.92
4.0,5.42
6.0,5.92
4.0,7.42
3.0,7.42
2.0,7.42
1.0,6.92
4.0,6.92
1.0,6.42
4.0,7.42
4.0,7.92
1.0,7.42
4.0,7.42
1.0,6.42
1.0,5.42
2.0,5.42
4.0,6.92
4.0,6.92
4.0,7.92
1.0,6.92
1.0,5.42
3.0,6.42
1.0,5.42
2.0,5.92
3.0,6.42
1.0,6.42
1.0,5.42
1.0,4.92
3.0,4.92
3.0,5.42
4.0,6.42
4.0,6.42
4.0,6.92
4.0,6.92
3.0,6.92
4.0,7.42
3.0,7.42
4.0,7.92
2.0,7.92
2.0,7.92
1.0,7.42
5.0,7.42
2.0,6.92
3.0,6.92
1.0,6.42
1.0,5.92
1.0,5.92
3.0,5.92
2.0,5.92
1.0,5.42
1.0,5.42
2.0,5.42
1.0,4.92
3.0,4.92
3.0,5.42
3.0,5.92
2.0,5.92
2.0,5.92
1.0,5.92
4.0,5.92
4.0,6.42
2.0,6.42
4.0,6.92
7.0,6.92
4.0,7.42
4.0,7.92
29.0,32.92
29.0,32.92
29.0,32.92
30.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
30.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
30.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
30.0,32.92
30.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
30.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
28.0,32.92
28.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
28.0,32.42
28.0,31.92
29.0,31.92
29.0,31.92
29.0,32.42
29.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
28.0,32.92
28.0,32.42
29.0,32.92
29.0,32.92
28.0,32.92
28.0,32.42
29.0,32.42
29.0,32.42
28.0,32.42
29.0,32.42
29.0,32.92
28.0,32.92
28.0,32.42
29.0,32.42
28.0,32.42
29.0,32.92
28.0,32.42
29.0,32.42
29.0,32.92
28.0,32.42
28.0,31.92
29.0,32.42
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
28.0,32.92
28.0,32.42
28.0,31.92
29.0,32.42
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
28.0,32.92
28.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
28.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
28.0,32.42
28.0,32.42
29.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
28.0,32.92
28.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
28.0,32.92
29.0,32.92
29.0,32.92
28.0,32.92
28.0,32.92
28.0,32.42
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
1880.0,31.92
9.0,31.92
21.0,31.92
7.0,31.92
26.0,31.92
32.0,31.92
34.0,31.92
37.0,31.92
40.0,33.92
42.0,36.92
42.0,36.92
43.0,39.42
45.0,42.42
54.0,44.92
63.0,45.92
64.0,46.42
66.0,47.92
66.0,53.42
83.0,62.42
86.0,67.42
103.0,68.92
108.0,69.92
108.0,78.42
101.0,88.42
104.0,97.42
99.0,103.92
113.0,105.92
114.0,107.42
127.0,109.92
232.0,111.92
253.0,114.42
254.0,117.42
248.0,124.42
247.0,183.42
196.0,217.92
197.0,218.42
197.0,218.42
196.0,218.42
227.0,233.42
255.0,240.92
254.0,240.92
254.0,240.92
252.0,240.92
254.0,243.42
254.0,256.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
32.0,35.92
31.0,35.92
31.0,35.92
31.0,35.92
31.0,35.92
31.0,35.42
28.0,34.92
27.0,34.92
27.0,34.92
27.0,34.92
28.0,33.42
28.0,31.92
29.0,31.92
30.0,31.92
30.0,31.92
30.0,31.92
31.0,32.42
31.0,33.42
30.0,33.92
31.0,33.92
31.0,33.92
31.0,34.42
30.0,34.42
30.0,34.42
30.0,34.42
31.0,34.92
30.0,34.42
30.0,33.92
30.0,33.92
30.0,33.92
30.0,33.92
30.0,33.92
31.0,33.92
30.0,33.92
31.0,33.92
31.0,33.92
31.0,33.92
31.0,34.42
31.0,34.92
31.0,34.92
31.0,34.92
31.0,34.92
31.0,34.92
31.0,34.92
31.0,34.92
32.0,34.92
32.0,34.92
33.0,34.92
33.0,34.92
33.0,35.42
33.0,35.92
33.0,36.42
34.0,36.92
34.0,36.92
33.0,36.92
33.0,36.92
34.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
34.0,36.92
34.0,36.92
33.0,36.92
34.0,36.92
33.0,36.92
34.0,36.92
34.0,37.42
33.0,37.42
33.0,37.42
34.0,37.92
33.0,37.42
33.0,36.92
33.0,36.92
34.0,36.92
34.0,37.42
34.0,37.42
34.0,37.42
34.0,37.92
34.0,37.92
34.0,37.92
33.0,37.92
33.0,37.92
33.0,37.92
33.0,37.92
34.0,37.92
33.0,37.42
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
34.0,36.92
33.0,36.92
33.0,36.92
34.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
34.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
34.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
34.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
34.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
32.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
32.0,36.92
32.0,36.92
32.0,36.92
32.0,36.92
32.0,36.42
32.0,35.92
33.0,35.92
33.0,35.92
32.0,35.92
33.0,35.92
33.0,35.92
33.0,36.42
33.0,36.92
32.0,36.92
32.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
32.0,36.92
32.0,36.92
33.0,36.92
32.0,36.92
32.0,36.92
32.0,36.42
32.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
32.0,35.92
33.0,35.92
33.0,35.92
33.0,35.92
33.0,36.42
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
32.0,36.92
32.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
32.0,36.92
32.0,36.92
32.0,36.42
33.0,36.42
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
32.0,36.92
33.0,36.92
33.0,36.92
32.0,36.92
32.0,36.92
32.0,36.92
32.0,36.42
33.0,36.42
33.0,36.42
32.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
33.0,36.42
32.0,35.92
32.0,35.92
33.0,35.92
33.0,36.42
32.0,36.42
33.0,36.42
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
32.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
32.0,36.92
33.0,36.92
33.0,36.92
32.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
34.0,36.92
34.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
32.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
33.0,36.92
32.0,36.92
32.0,36.92
31.0,36.92
31.0,36.92
32.0,36.42
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
31.0,35.92
31.0,35.92
31.0,35.42
32.0,35.92
31.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
32.0,35.92
33.0,35.92
33.0,35.92
33.0,35.92
33.0,35.92
33.0,36.42
33.0,36.92
38.0,36.92
39.0,36.92
48.0,36.92
49.0,36.92
55.0,39.42
56.0,42.42
56.0,47.42
12.0,15.0
12.0,15.0
12.0,15.0
13.0,15.0
13.0,15.0
13.0,15.5
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
12.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
12.0,16.0
12.0,16.0
12.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
12.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
12.0,16.0
12.0,16.0
13.0,16.0
13.0,16.0
12.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
12.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
12.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
13.0,16.0
